#  E (eV)   dos(E)     Int dos(E) EFermi =    0.020 eV
  -8.750  0.6859E+01  0.3446E+02
  -8.700  0.6898E+01  0.3481E+02
  -8.650  0.6907E+01  0.3515E+02
  -8.600  0.6967E+01  0.3550E+02
  -8.550  0.7112E+01  0.3585E+02
  -8.500  0.7332E+01  0.3622E+02
  -8.450  0.7700E+01  0.3661E+02
  -8.400  0.8344E+01  0.3702E+02
  -8.350  0.9250E+01  0.3749E+02
  -8.300  0.1021E+02  0.3800E+02
  -8.250  0.1098E+02  0.3855E+02
  -8.200  0.1148E+02  0.3912E+02
  -8.150  0.1177E+02  0.3971E+02
  -8.100  0.1193E+02  0.4030E+02
  -8.050  0.1197E+02  0.4090E+02
  -8.000  0.1187E+02  0.4150E+02
  -7.950  0.1167E+02  0.4208E+02
  -7.900  0.1151E+02  0.4266E+02
  -7.850  0.1154E+02  0.4323E+02
  -7.800  0.1183E+02  0.4382E+02
  -7.750  0.1226E+02  0.4444E+02
  -7.700  0.1263E+02  0.4507E+02
  -7.650  0.1288E+02  0.4571E+02
  -7.600  0.1306E+02  0.4637E+02
  -7.550  0.1324E+02  0.4703E+02
  -7.500  0.1342E+02  0.4770E+02
  -7.450  0.1364E+02  0.4838E+02
  -7.400  0.1393E+02  0.4908E+02
  -7.350  0.1430E+02  0.4979E+02
  -7.300  0.1475E+02  0.5053E+02
  -7.250  0.1531E+02  0.5129E+02
  -7.200  0.1603E+02  0.5210E+02
  -7.150  0.1688E+02  0.5294E+02
  -7.100  0.1765E+02  0.5382E+02
  -7.050  0.1797E+02  0.5472E+02
  -7.000  0.1772E+02  0.5561E+02
  -6.950  0.1702E+02  0.5646E+02
  -6.900  0.1616E+02  0.5727E+02
  -6.850  0.1532E+02  0.5803E+02
  -6.800  0.1460E+02  0.5876E+02
  -6.750  0.1405E+02  0.5946E+02
  -6.700  0.1365E+02  0.6015E+02
  -6.650  0.1336E+02  0.6082E+02
  -6.600  0.1308E+02  0.6147E+02
  -6.550  0.1281E+02  0.6211E+02
  -6.500  0.1258E+02  0.6274E+02
  -6.450  0.1238E+02  0.6336E+02
  -6.400  0.1218E+02  0.6397E+02
  -6.350  0.1199E+02  0.6457E+02
  -6.300  0.1181E+02  0.6516E+02
  -6.250  0.1164E+02  0.6574E+02
  -6.200  0.1151E+02  0.6631E+02
  -6.150  0.1139E+02  0.6688E+02
  -6.100  0.1124E+02  0.6745E+02
  -6.050  0.1109E+02  0.6800E+02
  -6.000  0.1099E+02  0.6855E+02
